task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,peer_broker,2,1,21.0,22.0,21.0,10.0,5.0,3.0,2.0,0.0,9.0,2.0,0.0,2677.67
rw_d_tag_antidependency,peer_contract,2,1,22.0,22.0,22.0,10.0,3.0,3.0,0.0,1.0,6.0,2.0,3.0,2546.36
rw_e_cascade,peer_broker,3,1,87.0,97.0,86.0,50.0,17.0,12.0,5.0,9.0,59.0,5.0,0.0,5677.53
rw_e_cascade,peer_contract,3,1,77.0,77.0,76.0,30.0,12.0,11.0,1.0,16.0,17.0,6.0,5.0,5053.86
t02_benign_overlap,peer_broker,2,1,12.0,13.0,12.0,3.0,3.0,2.0,1.0,2.0,8.0,2.0,0.0,1577.17
t02_benign_overlap,peer_contract,2,1,10.0,10.0,10.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1432.4
t03_fetch_clobber,peer_broker,2,1,14.0,15.0,14.0,4.0,3.0,2.0,1.0,2.0,8.0,2.0,0.0,1420.0
t03_fetch_clobber,peer_contract,2,1,17.0,17.0,17.0,4.0,4.0,2.0,2.0,1.0,8.0,2.0,4.0,1897.29
t04_cascade,peer_broker,4,1,98.0,117.0,98.0,61.0,17.0,10.0,7.0,6.0,92.0,6.0,0.0,2649.65
t04_cascade,peer_contract,4,1,110.0,110.0,110.0,54.0,15.0,9.0,6.0,10.0,55.0,7.0,19.0,2499.12
