task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,False,2,3,55.83,51394,4837,56231,0.022523,4941,0.08786968042538813,1,0,0,0,16.804,10,22,21,10,5,3,2,0,9,2,0,21,10.5,2677.6666666666665,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,True,3,3,50.63,52685,3335,56020,0.019841,0,0.0,1,0,0,0,9.333,10,22,22,10,3,3,0,1,6,2,3,22,11.0,2546.3636363636365,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,True,3,3,229.45,469948,23997,493945,0.165481,34257,0.06935387543147517,8,0,0,0,133.552,50,97,86,50,17,12,5,9,59,5,0,87,29.0,5677.528735632184,1.0,1.0,False,3,0,0,rw_e_cascade__peer_broker-n3-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,True,3,3,169.8,371490,17657,389147,0.128187,4697,0.012069988975888289,1,0,0,0,8.392,30,77,76,30,12,11,1,16,17,6,5,77,25.666666666666668,5053.857142857143,1.0,1.0,False,3,0,0,rw_e_cascade__peer_contract-n3-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,True,6,6,44.41,15422,3504,18926,0.010863,1577,0.08332452710556906,1,1,0,0,19.4,3,13,12,3,3,2,1,2,8,2,0,12,6.0,1577.1666666666667,1.0,,False,2,0,0,t02_benign_overlap__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,True,6,6,24.02,12384,1940,14324,0.006976,0,0.0,0,0,0,0,0.004,2,10,10,2,2,2,0,0,2,2,2,10,5.0,1432.4,1.0,,False,2,0,0,t02_benign_overlap__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,True,5,5,54.88,16195,3685,19880,0.011419,1939,0.08815639918163219,1,0,0,0,16.458,4,15,14,4,3,2,1,2,8,2,0,14,7.0,1420.0,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,True,5,5,58.64,27621,4633,32254,0.016171,3814,0.11824889936131952,1,0,0,0,30.01,4,17,17,4,4,2,2,1,8,2,4,17,8.5,1897.2941176470588,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,False,6,7,212.07,233599,26067,259666,0.110534,25000,0.09627752574461039,13,0,0,0,216.618,61,117,98,61,17,10,7,6,92,6,0,98,24.5,2649.6530612244896,1.0,,False,4,0,0,t04_cascade__peer_broker-n4-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,True,7,7,123.27,262652,12251,274903,0.090165,19653,0.07149067125495175,10,0,0,0,182.417,54,110,110,54,15,9,6,10,55,7,19,110,27.5,2499.1181818181817,1.0,,False,4,0,0,t04_cascade__peer_contract-n4-r0.jsonl,grid-v1-peer-targeted-v2,openai,results/grid-v1-peer-targeted-v2
