task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_d_tag_antidependency,peer_broker,2,1,0.0,0.0,0.0,55.8,55.8,55.8,56231.0,56231.0,56231.0,0.088,0.088,0.088,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,1,1.0,1.0,1.0,50.6,50.6,50.6,56020.0,56020.0,56020.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,1,1.0,1.0,1.0,229.4,229.4,229.4,493945.0,493945.0,493945.0,0.069,0.069,0.069,0.0,0.0,0.0
rw_e_cascade,peer_contract,3,1,1.0,1.0,1.0,169.8,169.8,169.8,389147.0,389147.0,389147.0,0.012,0.012,0.012,0.0,0.0,0.0
t02_benign_overlap,peer_broker,2,1,1.0,1.0,1.0,44.4,44.4,44.4,18926.0,18926.0,18926.0,0.083,0.083,0.083,1.0,1.0,1.0
t02_benign_overlap,peer_contract,2,1,1.0,1.0,1.0,24.0,24.0,24.0,14324.0,14324.0,14324.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,1.0,1.0,1.0,54.9,54.9,54.9,19880.0,19880.0,19880.0,0.088,0.088,0.088,0.0,0.0,0.0
t03_fetch_clobber,peer_contract,2,1,1.0,1.0,1.0,58.6,58.6,58.6,32254.0,32254.0,32254.0,0.118,0.118,0.118,0.0,0.0,0.0
t04_cascade,peer_broker,4,1,0.0,0.0,0.0,212.1,212.1,212.1,259666.0,259666.0,259666.0,0.096,0.096,0.096,0.0,0.0,0.0
t04_cascade,peer_contract,4,1,1.0,1.0,1.0,123.3,123.3,123.3,274903.0,274903.0,274903.0,0.071,0.071,0.071,0.0,0.0,0.0
