task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,peer_broker,2,1,30.0,30.0,29.0,17.0,4.0,4.0,0.0,2.0,4.0,3.0,0.0,3527.07
rw_d_tag_antidependency,peer_contract,2,1,21.0,21.0,21.0,9.0,2.0,2.0,0.0,2.0,6.0,2.0,3.0,3146.0
rw_e_cascade,peer_broker,3,1,71.0,75.0,71.0,36.0,12.0,11.0,1.0,14.0,29.0,4.0,0.0,4249.35
rw_e_cascade,peer_contract,3,1,87.0,87.0,86.0,37.0,11.0,10.0,1.0,19.0,43.0,4.0,11.0,5038.23
t02_benign_overlap,peer_broker,2,1,12.0,12.0,12.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,1411.33
t02_benign_overlap,peer_contract,2,1,12.0,12.0,12.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,1815.33
t03_fetch_clobber,peer_broker,2,1,11.0,11.0,11.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1082.0
t03_fetch_clobber,peer_contract,2,1,36.0,36.0,35.0,13.0,8.0,1.0,7.0,0.0,10.0,2.0,5.0,2428.61
t04_cascade,peer_broker,4,1,93.0,101.0,93.0,56.0,16.0,9.0,7.0,7.0,47.0,6.0,0.0,2375.89
t04_cascade,peer_contract,4,1,86.0,86.0,86.0,40.0,12.0,11.0,1.0,9.0,33.0,4.0,13.0,2113.58
