task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,True,3,3,47.65,101903,3909,105812,0.033294,0,0.0,0,0,0,0,0.011,17,30,29,17,4,4,0,2,4,3,0,30,15.0,3527.0666666666666,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,False,2,3,32.38,62024,4042,66066,0.02359,0,0.0,1,0,0,0,2.931,9,21,21,9,2,2,0,2,6,2,3,21,10.5,3146.0,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,True,3,3,91.74,284935,16769,301704,0.104772,4129,0.01368559913027338,3,0,0,0,32.117,36,75,71,36,12,11,1,14,29,4,0,71,23.666666666666668,4249.352112676056,1.0,1.0,False,3,0,0,rw_e_cascade__peer_broker-n3-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,False,1,3,98.08,424794,13532,438326,0.133263,9372,0.021381346303892535,7,0,0,0,25.554,37,87,86,37,11,10,1,19,43,4,11,87,29.0,5038.229885057472,1.0,1.0,False,2,0,0,rw_e_cascade__peer_contract-n3-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,True,6,6,18.63,14697,2239,16936,0.008152,1751,0.10338923004251299,0,0,0,0,0.003,3,12,12,3,3,2,1,0,2,2,0,12,6.0,1411.3333333333333,1.0,,False,2,0,0,t02_benign_overlap__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,True,6,6,25.96,18798,2986,21784,0.010672,2123,0.09745684906353287,0,0,0,0,0.008,3,12,12,3,3,2,1,0,2,2,2,12,6.0,1815.3333333333333,1.0,,False,2,0,0,t02_benign_overlap__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,False,2,5,14.53,10258,1644,11902,0.005853,0,0.0,0,0,0,0,0.003,3,11,11,3,2,2,0,0,2,2,0,11,5.5,1082.0,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,False,2,5,50.52,82128,5302,87430,0.031136,18803,0.2150634793549125,1,0,0,0,4.932,13,36,35,13,8,1,7,0,10,2,5,36,18.0,2428.6111111111113,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,False,5,7,128.08,195274,25684,220958,0.100186,25672,0.11618497633034332,6,0,0,0,64.775,56,101,93,56,16,9,7,7,47,6,0,93,23.25,2375.8924731182797,1.0,,False,4,0,0,t04_cascade__peer_broker-n4-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,True,7,7,73.41,173248,8520,181768,0.060352,2594,0.014270938779103032,3,0,0,0,8.367,40,86,86,40,12,11,1,9,33,4,13,86,21.5,2113.5813953488373,1.0,,False,4,0,0,t04_cascade__peer_contract-n4-r0.jsonl,grid-v1-peer-targeted-v3,openai,results/grid-v1-peer-targeted-v3
