task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_d_tag_antidependency,peer_broker,2,1,1.0,1.0,1.0,47.6,47.6,47.6,105812.0,105812.0,105812.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,1,0.0,0.0,0.0,32.4,32.4,32.4,66066.0,66066.0,66066.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,1,1.0,1.0,1.0,91.7,91.7,91.7,301704.0,301704.0,301704.0,0.014,0.014,0.014,0.0,0.0,0.0
rw_e_cascade,peer_contract,3,1,0.0,0.0,0.0,98.1,98.1,98.1,438326.0,438326.0,438326.0,0.021,0.021,0.021,0.0,0.0,0.0
t02_benign_overlap,peer_broker,2,1,1.0,1.0,1.0,18.6,18.6,18.6,16936.0,16936.0,16936.0,0.103,0.103,0.103,0.0,0.0,0.0
t02_benign_overlap,peer_contract,2,1,1.0,1.0,1.0,26.0,26.0,26.0,21784.0,21784.0,21784.0,0.097,0.097,0.097,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,0.0,0.0,0.0,14.5,14.5,14.5,11902.0,11902.0,11902.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_contract,2,1,0.0,0.0,0.0,50.5,50.5,50.5,87430.0,87430.0,87430.0,0.215,0.215,0.215,0.0,0.0,0.0
t04_cascade,peer_broker,4,1,0.0,0.0,0.0,128.1,128.1,128.1,220958.0,220958.0,220958.0,0.116,0.116,0.116,0.0,0.0,0.0
t04_cascade,peer_contract,4,1,1.0,1.0,1.0,73.4,73.4,73.4,181768.0,181768.0,181768.0,0.014,0.014,0.014,0.0,0.0,0.0
