task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_d_tag_antidependency,peer_broker,2,1,0.0,0.0,0.0,39.8,39.8,39.8,88633.0,88633.0,88633.0,0.027,0.027,0.027,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,1,1.0,1.0,1.0,31.1,31.1,31.1,77203.0,77203.0,77203.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,1,1.0,1.0,1.0,375.8,375.8,375.8,898142.0,898142.0,898142.0,0.22,0.22,0.22,0.0,0.0,0.0
rw_e_cascade,peer_contract,3,1,0.0,0.0,0.0,142.1,142.1,142.1,354056.0,354056.0,354056.0,0.012,0.012,0.012,0.0,0.0,0.0
t02_benign_overlap,peer_broker,2,1,1.0,1.0,1.0,25.7,25.7,25.7,14760.0,14760.0,14760.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,peer_contract,2,1,1.0,1.0,1.0,30.1,30.1,30.1,29525.0,29525.0,29525.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,1.0,1.0,1.0,94.9,94.9,94.9,45413.0,45413.0,45413.0,0.126,0.126,0.126,0.0,0.0,0.0
t03_fetch_clobber,peer_contract,2,1,1.0,1.0,1.0,35.5,35.5,35.5,34211.0,34211.0,34211.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,peer_broker,4,1,1.0,1.0,1.0,74.6,74.6,74.6,137845.0,137845.0,137845.0,0.046,0.046,0.046,0.0,0.0,0.0
t04_cascade,peer_contract,4,1,1.0,1.0,1.0,155.9,155.9,155.9,278499.0,278499.0,278499.0,0.078,0.078,0.078,0.0,0.0,0.0
