task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,False,2,3,39.77,86250,2383,88633,0.026329,2388,0.026942560897182766,0,0,0,0,0.009,17,29,29,17,4,3,1,2,3,2,0,29,14.5,3056.310344827586,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,True,3,3,31.09,74880,2323,77203,0.023366,0,0.0,1,0,0,0,2.423,12,26,26,12,3,3,0,3,6,2,3,26,13.0,2969.346153846154,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,True,3,3,375.79,843175,54967,898142,0.320728,197794,0.22022575494743593,17,0,0,0,312.954,64,145,120,64,37,15,22,15,132,3,0,120,40.0,7484.516666666666,1.0,1.0,False,0,0,0,rw_e_cascade__peer_broker-n3-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,False,2,3,142.14,341999,12057,354056,0.109614,4389,0.012396344081162303,3,0,0,0,46.943,34,79,78,34,12,11,1,10,25,5,7,79,26.333333333333332,4481.721518987341,1.0,1.0,False,3,0,0,rw_e_cascade__peer_contract-n3-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,True,6,6,25.7,12522,2238,14760,0.007607,0,0.0,0,0,0,0,0.004,3,13,13,3,2,2,0,3,2,2,0,13,6.5,1135.3846153846155,1.0,,False,2,0,0,t02_benign_overlap__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,True,6,6,30.08,26486,3039,29525,0.0127,0,0.0,0,0,0,0,0.002,5,18,18,5,2,2,0,2,4,2,3,18,9.0,1640.2777777777778,1.0,,False,2,0,0,t02_benign_overlap__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,True,5,5,94.94,35477,9936,45413,0.028741,5742,0.12643956576310747,4,0,0,0,58.401,6,25,21,6,5,2,3,4,25,2,0,21,10.5,2162.5238095238096,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,True,5,5,35.49,30385,3826,34211,0.015248,0,0.0,0,0,0,0,0.013,5,20,20,5,3,3,0,3,6,2,4,20,10.0,1710.55,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,True,7,7,74.57,129483,8362,137845,0.049095,6317,0.0458268344880119,2,0,0,0,18.892,44,76,74,44,11,9,2,6,20,5,0,74,18.5,1862.7702702702702,1.0,,False,4,0,0,t04_cascade__peer_broker-n4-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,True,7,7,155.94,263056,15443,278499,0.09665,21702,0.077924875852337,7,0,0,0,117.959,48,104,103,48,16,9,7,14,41,5,15,104,26.0,2677.875,1.0,,False,4,0,0,t04_cascade__peer_contract-n4-r0.jsonl,grid-v1-peer-targeted-v4,openai,results/grid-v1-peer-targeted-v4
