task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,peer_broker,2,1,32.0,34.0,32.0,18.0,6.0,6.0,0.0,1.0,20.0,3.0,2.0,4363.56
rw_d_tag_antidependency,peer_contract,2,1,20.0,20.0,19.0,5.0,3.0,3.0,0.0,3.0,6.0,2.0,3.0,2224.05
rw_e_cascade,peer_broker,3,1,68.0,74.0,68.0,36.0,14.0,14.0,0.0,10.0,47.0,5.0,3.0,4463.03
rw_e_cascade,peer_contract,3,1,95.0,95.0,95.0,43.0,17.0,12.0,5.0,15.0,45.0,7.0,11.0,6078.04
t02_benign_overlap,peer_broker,2,1,13.0,13.0,13.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1121.0
t02_benign_overlap,peer_contract,2,1,11.0,11.0,11.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1562.91
t03_fetch_clobber,peer_broker,2,1,15.0,17.0,15.0,4.0,4.0,4.0,0.0,2.0,18.0,2.0,2.0,1744.87
t03_fetch_clobber,peer_contract,2,1,11.0,11.0,11.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,3.0,1597.18
t04_cascade,peer_broker,4,1,91.0,99.0,90.0,55.0,14.0,11.0,3.0,7.0,43.0,6.0,3.0,2388.63
t04_cascade,peer_contract,4,1,138.0,138.0,138.0,59.0,29.0,8.0,21.0,4.0,105.0,9.0,30.0,3532.54
