run_id,provider,run_dir,log,task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,agent,status,turns,llm_calls,tool_calls,file_reads,write_attempts,write_applied,write_refused,search_events,run_tests,notifications_delivered,prompt_tokens,completion_tokens,total_tokens
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-tag-semantics,done,13,14,13,5,4,4,0,0,2,1,54058,9837,63895
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-tag-stats,done,19,20,19,13,2,2,0,1,1,1,71703,4036,75739
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-tag-semantics,done,8,8,8,1,2,2,0,2,1,1,13047,1072,14119
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-tag-stats,done,12,12,11,4,1,1,0,1,1,2,28892,1470,30362
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-schema,done,22,24,22,9,7,7,0,3,2,0,97014,8504,105518
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-comments,done,26,28,26,16,4,4,0,3,2,1,116235,9487,125722
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_broker-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,agent-feed,done,20,22,20,11,3,3,0,4,1,2,65868,6378,72246
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-schema,done,34,34,34,12,9,6,3,6,3,3,211048,7708,218756
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-comments,max_turns,40,40,40,21,7,5,2,4,3,6,272550,9441,281991
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,rw_e_cascade__peer_contract-n3-r0.jsonl,rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,agent-feed,done,21,21,21,10,1,1,0,5,1,2,74523,2144,76667
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t02_benign_overlap__peer_broker-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,agent-slugify,done,7,7,7,2,1,1,0,1,1,0,6784,797,7581
